Config,CRF,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
A2_test_CRF0,0,2.5111607142857144,1.5348337307679578,6.267849094259942,5.52858780805415,2.023685839538664,1.1889341973595848,0.9459974155755082,0.09358102092325273,2.4307938171681536,1.1338206822881856
A2_test_CRF14,14,2.5111607142857144,1.5348337307679578,6.267849094259942,5.52858780805415,2.023685839538664,1.1889341973595848,0.9459974155755082,0.09358102092325273,1.5917031169244744,1.1194386738319244
A2_test_CRF16,16,1.8833705357142858,1.4692359670753081,5.811045099813349,5.526141081800213,1.4476489731792166,1.1066055429311945,0.9509975900753905,0.08925785851060934,1.4559354273037683,1.140987393334495
A2_test_CRF18,18,2.134486607142857,1.5293213207745082,6.107336973389385,5.538798033767728,1.7038564152316273,1.1817060609681023,0.9458834314586936,0.0936769867202928,1.1533001955597098,1.0214834766117613
A2_test_CRF20,20,2.260044642857143,1.5215703965564134,6.125379367123561,5.537133553542437,1.8104662233339726,1.1751737518300953,0.9466523164684444,0.09302750118689286,0.601454243669461,0.9665509403805281
A2_test_CRF22,22,1.8833705357142858,1.4476170231169556,5.734580648438791,5.5277485607481145,1.5286941844406936,1.0915043677173537,0.9489250365922016,0.09107747385627654,-0.9822459942435492,0.8269266389334098
A2_test_CRF24,24,1.6322544642857142,0.6515551322646705,2.9338697826431726,1.9967873248953723,1.5605466316275847,0.5924144813310909,0.9890830967192377,0.042538833027681036,-2.15113700722833,0.8329183512001547
