Config,CRF,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
PURE_UBFC-rPPG_PHYSFORMER_CRF0,0,2.93953518907563,0.7946780981478132,9.153739531428515,6.668612195325331,2.968577231827604,0.745501068442392,0.8700570488600404,0.04557334013452084,0.6282064800718999,0.40037151334580273
PURE_UBFC-rPPG_PHYSFORMER_CRF14,14,6.484703256302521,1.1919717685277378,14.530181804141009,7.401149491850667,6.451052795996867,1.1324050896871078,0.7319917054625347,0.06298745928188207,-2.938666610907067,0.39589767196704706
PURE_UBFC-rPPG_PHYSFORMER_CRF16,16,9.586725315126051,1.4809518370645556,18.785587165924827,8.433239959662874,9.404943116565132,1.432287887758359,0.6367174763697745,0.07128795916630402,-3.9840183467284165,0.43426519134333436
PURE_UBFC-rPPG_PHYSFORMER_CRF18,18,14.003413865546218,1.7969050348736193,24.090057216783805,10.375530053662406,13.266128864366783,1.6405336959445453,0.422663261791989,0.08378624446653798,-5.370332673859336,0.41060314678672943
PURE_UBFC-rPPG_PHYSFORMER_CRF20,20,18.37578781512605,1.8410271331846015,27.221423650059936,10.597570489187094,17.437052787317963,1.6424062231938152,0.36192150594041905,0.08618271305916153,-6.751101129408743,0.38539768236067207
PURE_UBFC-rPPG_PHYSFORMER_CRF22,22,24.269629726890756,2.044593415449173,32.96176622976468,11.863930052534847,23.4947229921591,1.9181252278321486,0.048521262396409505,0.09234114042230095,-7.982033399060553,0.3212183646730771
PURE_UBFC-rPPG_PHYSFORMER_CRF24,24,26.293329831932773,1.8237185647254732,32.97161161736567,11.040263115843617,25.98931311892838,1.7119500259272176,-0.02772134306638681,0.09241450320644472,-8.541460165818679,0.2761029808793345
