Config,CRF,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
PURE_UBFC-rPPG_PHYSMAMBA_CRF0,0,2.0532431722689077,0.5854148407632742,6.708081788633003,4.639093015930592,2.354925318926614,0.7566590085242342,0.9216980876165107,0.035862109528913944,1.739844690736978,0.3823971111812603
PURE_UBFC-rPPG_PHYSMAMBA_CRF14,14,7.282366071428571,1.382427056537204,16.746769808807368,8.787200549134727,7.122546186617415,1.2614289727994865,0.6482764773625113,0.07039191926831787,-2.538931060379094,0.36355908114166585
PURE_UBFC-rPPG_PHYSMAMBA_CRF16,16,8.641347163865547,1.5142918403645287,18.642676158856684,9.358707451915839,8.324623652000298,1.3748595909669157,0.5686608224549089,0.07604681806955156,-3.4389835077939463,0.35914654572691795
PURE_UBFC-rPPG_PHYSMAMBA_CRF18,18,13.929556197478991,1.768290122855584,23.793437770334297,10.241625770065694,13.139873855960532,1.5680128692751958,0.40304858358195733,0.08460828995332226,-5.182387824513341,0.3797831057178934
PURE_UBFC-rPPG_PHYSMAMBA_CRF20,20,19.439338235294116,2.0175226574747125,29.36435243903061,11.198208118526615,18.205715103482817,1.7671842264581719,0.27497296411524075,0.08888626503099141,-6.462303335161403,0.32032213715240704
PURE_UBFC-rPPG_PHYSMAMBA_CRF22,22,26.573988970588236,2.011986609232213,34.46591959575116,11.605250356300287,25.126510515972473,1.7696520647000402,0.08366680010113582,0.09212588315274822,-8.213436914596471,0.3706922712427063
PURE_UBFC-rPPG_PHYSMAMBA_CRF24,24,29.69078256302521,1.86095411939538,35.96744982772206,11.417488210830536,28.556874097895268,1.6330399564532725,0.07821669642005295,0.09216680105712526,-8.740812566569529,0.3068178321246384
