Method,CRF,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
ICA,-1,14.804930124223603,0.9756334150197425,26.05637362923194,7.763400481525831,14.019353673772647,0.8701809058942575,0.39674685762788675,0.0418539170953114,-6.423547788109028,0.2807454268865265
POS,-1,2.9406055900621118,0.34000915891038397,8.03025338512726,3.761330835582068,2.988672422983905,0.3249008295011575,0.8927274123107956,0.02054546033436785,-3.251596375578764,0.13183642090003328
CHROM,-1,3.7121506211180124,0.41029625816406484,9.751396855564076,4.402321604301601,3.817484369832311,0.40664341878592974,0.8458636850362445,0.024320906637313608,-3.706121021470854,0.14836630321236793
GREEN,-1,17.396156832298136,1.0863046908030551,29.53970597658077,8.315369520069842,16.952690254134403,1.0080869033163262,0.41809653637913946,0.041419593379624135,-6.405034534893889,0.24149629158282213
LGI,-1,9.84083850931677,0.90816576205729,22.25317106346101,7.7764626062074695,9.508460830115348,0.8271512618091541,0.5410060903788187,0.03834715075795972,-4.455013212086844,0.21460654287752665
PBV,-1,18.47340838509317,1.0783250486010796,30.048160161733726,8.359450428369868,17.710505242282252,0.980014470863217,0.3705065018183624,0.04235099677061076,-7.2695873302175755,0.25256545200484243
OMIT,-1,9.782608695652174,0.9073677738363559,22.211735517101697,7.775960872015581,9.440774892864196,0.8257559219026869,0.5402025851244161,0.03837069348545686,-4.454473177742141,0.21459792677905626
