Config,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
PURE_UBFC-rPPG_PHYSFORMER_CRF0.yaml,1.5904017857142858,0.5490826553345561,3.897695711616232,2.830841811223399,1.731223376129944,0.6046992183465048,0.9766971520575989,0.033934743686440165,N/A,N/A
PURE_UBFC-rPPG_PHYSFORMER_CRF16.yaml,9.207589285714286,2.2337802408884193,17.156637647479428,10.433973182606477,8.887515462655827,2.041371014761097,0.6335192689857675,0.12233696659470296,N/A,N/A
PURE_UBFC-rPPG_PHYSFORMER_CRF18.yaml,11.781529017857142,2.6588904129514916,20.874188644787964,11.506848266735634,11.260883060775209,2.452534759503951,0.5799511453826235,0.12880767339034807,N/A,N/A
PURE_UBFC-rPPG_PHYSFORMER_CRF20.yaml,19.524274553571427,3.041531757652784,27.744111898225814,12.890421613092709,18.466358271093036,2.739908492188158,0.3813644628255118,0.14616438917309926,N/A,N/A
PURE_UBFC-rPPG_PHYSFORMER_CRF22.yaml,20.5078125,2.9000413283665556,27.81726875875823,13.294298983895828,19.928202191845436,2.6425020779618817,0.41206217055413147,0.14406637078081563,N/A,N/A
PURE_UBFC-rPPG_PHYSFORMER_CRF24.yaml,27.434430803571427,2.9924717442110413,33.59692327270179,13.968323892523573,26.187167522860754,2.678841812898566,0.03013160870897751,0.1580420898176028,N/A,N/A
