Experiment,Phase,Epoch,TrainLoss,ValLoss,BestEpoch,MinValLoss,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
C1_joint,Joint,0,0.6159,0.3309,,,,,,,,,,
C1_joint,Joint,1,0.3363,0.3208,,,,,,,,,,
C1_joint,Joint,2,0.2737,0.2830,,,,,,,,,,
C1_joint,Joint,3,0.2299,0.2446,,,,,,,,,,
C1_joint,Joint,4,0.2110,0.2317,,,,,,,,,,
C1_joint,Joint,5,0.1950,0.2291,,,,,,,,,,
C1_joint,Joint,6,0.1866,0.2292,,,,,,,,,,
C1_joint,Joint,7,0.1756,0.2392,5,0.2291253712028265,1.40625,0.9167628382316225,2.4859222776089562,2.205898211988354,1.2929292929292928,0.7867902348048863,0.992298370461509,0.0715167672168183,-0.7134231682176477,1.4380486388928488
C2_joint,Joint,0,0.6081,0.4078,,,,,,,,,,
C2_joint,Joint,1,0.3968,0.3700,,,,,,,,,,
C2_joint,Joint,2,0.3422,0.3857,,,,,,,,,,
C2_joint,Joint,3,0.3158,0.4002,,,,,,,,,,
C2_joint,Joint,4,0.3096,0.3773,,,,,,,,,,
C2_joint,Joint,5,0.2819,0.3316,,,,,,,,,,
C2_joint,Joint,6,0.2679,0.3397,,,,,,,,,,
C2_joint,Joint,7,0.2550,0.3691,5,0.3316260253389676,1.7578125,0.8541433439714796,3.4416035520910344,2.630062608271943,1.9961810889230245,1.0722417433789222,0.9863046650970602,0.05215659843948414,1.8062339451190985,0.8890755028479504
